Writer;Pages;Rating;Rating_Count;Review_Count;Title;Genre
Ray Bradbury;227 pages;3.98;1321751;36934;Fahrenheit 451;Classics|Fiction|Science Fiction|Science Fiction|Dystopia
Nicholas Sparks;214 pages;4.07;1144696;18249;The Notebook;Romance|Fiction|Womens Fiction|Chick Lit|Contemporary
Ernest Hemingway;132 pages;3.75;661870;19549;The Old Man and the Sea;Classics|Fiction|Literature|Novels|Literature|American|Academic|School|Adventure|Classics|Classic Literature|Literature|20th Century|Literary Fiction
Charles Dickens;512 pages;3.76;562389;13554;Great Expectations;Classics|Fiction|Literature|Historical|Historical Fiction
Edgar Allan Poe;821 pages;4.37;170532;1172;The Complete Stories and Poems;Classics|Poetry|Horror|Fiction|Short Stories
John Irving;637 pages;4.23;262747;12211;A Prayer for Owen Meany;Fiction|Classics|Literature|Contemporary
A.A. Milne;145 pages;4.34;230710;3617;Winnie-the-Pooh;Classics|Childrens|Fiction
Leo Tolstoy;838 pages;4.03;530951;19944;Anna Karenina;Classics|Fiction|Cultural|Russia|Romance
Herman Melville;720 pages;3.48;431320;12675;Moby-Dick or, The Whale;Classics|Fiction|Literature|Adventure
Anne Rice;342 pages;3.98;428588;8739;Interview with the Vampire;Horror|Fantasy|Fiction|Paranormal|Vampires|Fantasy|Paranormal
George Orwell;328 pages;4.16;2420816;53773;1984;Classics|Fiction|Science Fiction|Science Fiction|Dystopia
Anita Diamant;336 pages;4.16;470202;18027;The Red Tent;Historical|Historical Fiction|Fiction|Christian|Literature
Sue Monk Kidd;336 pages;4.03;1001343;28026;The Secret Life of Bees;Fiction|Historical|Historical Fiction|Young Adult|Adult Fiction
J.K. Rowling;435 pages;4.55;2217128;42873;Harry Potter and the Prisoner of Azkaban;Fantasy|Young Adult|Fiction
Cassandra Clare;481 pages;4.33;572963;26716;Clockwork Angel;Fantasy|Young Adult|Fantasy|Paranormal|Science Fiction|Steampunk|Romance
Jeffrey Eugenides;529 pages;3.99;539113;21898;Middlesex;Fiction|Historical|Historical Fiction|Contemporary
Charles Dickens;505 pages;3.76;562389;13554;Great Expectations;Classics|Fiction|Literature|Historical|Historical Fiction
Mark Twain;244 pages;3.9;657117;8166;The Adventures of Tom Sawyer;Classics|Fiction|Adventure|Young Adult|Historical|Historical Fiction|Literature|Childrens|Academic|School|Novels|Literature|American
Albert Camus;123 pages;3.97;555897;17611;The Stranger;Classics|Fiction|Philosophy|Cultural|France|Literature|Novels|European Literature|French Literature|Academic|School|Literature|20th Century|Academic|Read For School
Agatha Christie;264 pages;4.25;577459;22367;And Then There Were None;Mystery|Classics|Fiction|Mystery|Crime|Thriller
Mikhail Bulgakov;373 pages;4.31;186919;8601;The Master and Margarita;Fiction|Classics|Cultural|Russia|Fantasy|Literature|Russian Literature|Magical Realism
Roald Dahl;176 pages;4.12;553249;9723;Charlie and the Chocolate Factory;Childrens|Fantasy|Fiction|Classics
J.K. Rowling;734 pages;4.54;2077766;36237;Harry Potter and the Goblet of Fire;Fantasy|Young Adult|Fiction
Stephen King;447 pages;4.19;916982;17519;The Shining;Horror|Fiction|Thriller
